Time [s], Analyzer Name, Decoded Protocol Result,,,
0.380203333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380243,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.3802615,SPI,MOSI, 0x0000,  MISO, 0x3FFF
0.380303208,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.380321708,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.380361333,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.380379833,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.380419458,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.380438,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.380478458,SPI,MOSI, 0x0100,  MISO, 0xFFFF
0.380496958,SPI,MOSI, 0x3300,  MISO, 0xFFFF
0.380515875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380534708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.3805535,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.38057225,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380591042,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380609792,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380628583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380647333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380666125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380684875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380703667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380722417,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380741208,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380759958,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.38077875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.3807975,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380816292,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380835083,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380853833,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380872625,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380891375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380910167,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380928917,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380947708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380966458,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.38098525,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381004,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381022792,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381041542,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381060333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381079083,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381097833,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381116583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381135375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381154125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381172917,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.381191708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456217542,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.456236042,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456275708,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.456294208,SPI,MOSI, 0x0000,  MISO, 0x3FFF
0.456334083,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.456352583,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.456392208,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.456410708,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.456450333,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.456468833,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.45650925,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456527792,SPI,MOSI, 0x9400,  MISO, 0xFFFF
0.456546708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456565542,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456584333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456603083,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456621875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456640625,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456659417,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456678167,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456696958,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456715708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.4567345,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.45675325,SPI,MOSI, 0x0000,  MISO, 0xFFFF
