Time [s], Analyzer Name, Decoded Protocol Result,,,
0.069935583,SPI,MOSI, 0x2A,  MISO, 0xFF
0.069943583,SPI,MOSI, 0xD4,  MISO, 0xFF
0.069953083,SPI,MOSI, 0x00,  MISO, 0x0F
0.069961083,SPI,MOSI, 0x00,  MISO, 0xFF
0.0702185,SPI,MOSI, 0x2A,  MISO, 0xFF
0.0702265,SPI,MOSI, 0xD4,  MISO, 0xFF
0.070236,SPI,MOSI, 0x00,  MISO, 0x0F
0.070244,SPI,MOSI, 0x00,  MISO, 0xFF
0.070275042,SPI,MOSI, 0x2A,  MISO, 0xFF
0.070283042,SPI,MOSI, 0xD4,  MISO, 0xFF
0.070292542,SPI,MOSI, 0x00,  MISO, 0x0F
0.070300542,SPI,MOSI, 0x00,  MISO, 0xFF
0.070330083,SPI,MOSI, 0x2A,  MISO, 0xFF
0.070338125,SPI,MOSI, 0xD4,  MISO, 0xFF
0.070347625,SPI,MOSI, 0x00,  MISO, 0x0F
0.070355625,SPI,MOSI, 0x00,  MISO, 0xFF
0.070385208,SPI,MOSI, 0x2A,  MISO, 0xFF
0.070393208,SPI,MOSI, 0xD4,  MISO, 0xFF
0.070402708,SPI,MOSI, 0x00,  MISO, 0x0F
0.070410708,SPI,MOSI, 0x00,  MISO, 0xFF
0.070440375,SPI,MOSI, 0x2A,  MISO, 0xFF
0.070448375,SPI,MOSI, 0xD4,  MISO, 0xFF
0.070457875,SPI,MOSI, 0x00,  MISO, 0x0F
0.070465875,SPI,MOSI, 0x00,  MISO, 0xFF
0.070495667,SPI,MOSI, 0x2A,  MISO, 0xFF
0.070503667,SPI,MOSI, 0xD4,  MISO, 0xFF
0.070513167,SPI,MOSI, 0x00,  MISO, 0x0F
0.070521167,SPI,MOSI, 0x00,  MISO, 0xFF
0.070550708,SPI,MOSI, 0x2A,  MISO, 0xFF
0.070558708,SPI,MOSI, 0xD4,  MISO, 0xFF
0.070568208,SPI,MOSI, 0x00,  MISO, 0x0F
0.070576208,SPI,MOSI, 0x00,  MISO, 0xFF
0.070605833,SPI,MOSI, 0x2A,  MISO, 0xFF
0.070613833,SPI,MOSI, 0xD4,  MISO, 0xFF
0.070623292,SPI,MOSI, 0x00,  MISO, 0x0F
0.070631333,SPI,MOSI, 0x00,  MISO, 0xFF
0.070685833,SPI,MOSI, 0x4D,  MISO, 0xFF
0.070693833,SPI,MOSI, 0x83,  MISO, 0xFF
0.070703333,SPI,MOSI, 0x9A,  MISO, 0xFF
0.070711333,SPI,MOSI, 0x00,  MISO, 0x83
0.070720833,SPI,MOSI, 0x00,  MISO, 0xCA
0.070728833,SPI,MOSI, 0x00,  MISO, 0x2C
0.070738333,SPI,MOSI, 0x00,  MISO, 0xF0
0.070746333,SPI,MOSI, 0x00,  MISO, 0xF4
0.070755833,SPI,MOSI, 0x00,  MISO, 0xDF
0.070763833,SPI,MOSI, 0x00,  MISO, 0x14
0.070773333,SPI,MOSI, 0x00,  MISO, 0x1D
0.070781333,SPI,MOSI, 0x00,  MISO, 0xB7
0.070790833,SPI,MOSI, 0x00,  MISO, 0x83
0.070798833,SPI,MOSI, 0x00,  MISO, 0xD8
0.070808333,SPI,MOSI, 0x00,  MISO, 0x14
0.070816333,SPI,MOSI, 0x00,  MISO, 0x21
0.070825833,SPI,MOSI, 0x00,  MISO, 0xF5
0.070833833,SPI,MOSI, 0x00,  MISO, 0x40
0.070843333,SPI,MOSI, 0x00,  MISO, 0x15
0.070851333,SPI,MOSI, 0x00,  MISO, 0x21
0.070860833,SPI,MOSI, 0x00,  MISO, 0xF1
0.070868833,SPI,MOSI, 0x00,  MISO, 0xFF
0.070878333,SPI,MOSI, 0x00,  MISO, 0xFF
0.070886333,SPI,MOSI, 0x00,  MISO, 0xFF
0.070895833,SPI,MOSI, 0x00,  MISO, 0xFF
0.070903833,SPI,MOSI, 0x00,  MISO, 0xFF
0.070913333,SPI,MOSI, 0x00,  MISO, 0xFF
0.070921333,SPI,MOSI, 0x00,  MISO, 0xFF
0.070930833,SPI,MOSI, 0x00,  MISO, 0xFF
0.070938833,SPI,MOSI, 0x00,  MISO, 0xFF
0.070948333,SPI,MOSI, 0x00,  MISO, 0xFF
0.070956333,SPI,MOSI, 0x00,  MISO, 0xFF
0.070965833,SPI,MOSI, 0x00,  MISO, 0xFF
0.070973833,SPI,MOSI, 0x00,  MISO, 0xFF
0.070983333,SPI,MOSI, 0x00,  MISO, 0xFF
0.070991333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071000833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071008833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071018333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071026333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071035833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071043833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071053333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071061333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071070833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071078833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071088333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071096333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071105833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071113833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071123333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071131333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071140833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071148833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071158333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071166333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071175833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071183833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071193333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071201333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071210833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071218833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071228333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071236333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071245833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071253833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071263333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071271333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071280833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071288875,SPI,MOSI, 0x00,  MISO, 0xFF
0.071298333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071306375,SPI,MOSI, 0x00,  MISO, 0xFF
0.071315833,SPI,MOSI, 0x00,  MISO, 0xFF
0.071323875,SPI,MOSI, 0x00,  MISO, 0xFF
0.071333333,SPI,MOSI, 0x00,  MISO, 0xFF
0.071341375,SPI,MOSI, 0x00,  MISO, 0xFF
0.071393417,SPI,MOSI, 0x4E,  MISO, 0xFF
0.071401417,SPI,MOSI, 0x83,  MISO, 0xFF
0.071410917,SPI,MOSI, 0x8E,  MISO, 0xFF
0.071418917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071428417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071436417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071445917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071453917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071463417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071471417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071480917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071488917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071498417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071506417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071515917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071523917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071533417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071541417,SPI,MOSI, 0x00,  MISO, 0xFF
