Time [s], Analyzer Name, Decoded Protocol Result,,,,,,,,,,
0.06779225,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06780025,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06780825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06781625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06782425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06783225,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06784025,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06784825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06785625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06786425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06787225,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06788025,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06788825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06789625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06790425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06791225,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06792025,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06792825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06793625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06794425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06795225,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06796025,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06796825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06797625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06798425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06799225,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06800025,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06800825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06801625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06802425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06803225,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06804025,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06804825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06805625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
